I0,N
190,5259000
196,
198,
216,
226,
235,
254,
271,
271,
282,
303,
316,
326,
347,
185,
191,
219,
231,
243,
257,
254,
283,
321,
311,
333,
354,
373,
400,
392,
409,
428,
437,
450,
475,
520,
541,
540,
587,
602,
625,
656,
685,
757,
864,
915,
918,
1106,
1169,
1261,
1382,
1521,
1640,
1750,
1923,
1954,
2079,
2180,
2220,
2284,
2337,
2264,
2359,
2367,
2314,
2269,
2270,
2229,
2310,
2406,
2364,
2350,
2310,
2342,
2358,
2395,
2378,
2374,
2470,
2585,
2596,
2698,
2553,
2559,
2707,
2743,
2799,
2815,
2830,
2827,
2887,
2891,
2814,
2834,
2822,
2727,
2746,
2767,
2891,
2956,
2915,
2920,
2908,
2960,
2808,
2898,
2986,
2972,
2998,
3022,
3049,
3055,
2879,
2797,
2943,
2911,
3167,
3210,
3284,
3115,
2969,
2910,
2875,
2929,
2971,
2960,
3235,
3160,
3268,
3323,
3145,
3168,
3181,
3297,
3537,
3684,
3750,
3731,
3748,
3738,
3462,
3731,
3514,
3450,
3359,
3272,
3336,
3358,
3276,
3090,
3090,
3022,
2970,
2949,
2870,
2698,
2771,
2838,
2846,
2832,
2814,
2896,
2887,
3093,
3094,
3157,
3176,
3220,
3299,
3339,
3305,
3279,
3376,
3452,
3456,
3412,
3522,
3353,
3322,
3297,
3299,
3293,
3200,
3187,
3195,
3171,
3130,
3078,
3243,
3296,
3198,
3224,
3258,
3364,
3299,
3287,
3439,
3417,
3496,
3519,
3539,
3476,
3345,
3300,
3410,
3437,
3377,
3316,
3309,
3311,
3158,
3093,
2945,
2867,
2834,
2750,
2558,
2423,
2428,
2421,
2640,
2693,
2757,
2811,
2874,
3100,
3230,
3468,
3635,
3878,
4393,
4561,
4743,
4799,
4804,
4830,
4819,
4895,
4943,
4897,
4928,
4891,
4899,
4861,
4493,
4633,
4443,
4484,
4468,
4514,
4502,
4726,
4822,
4769,
4698,
4691,
4614,
4787,
4940,
4884,
4925,
4971,
4749,
4823,
5084,
4953,
4925,
5221,
5459,
5582,
5816,
5837,
5858,
6172,
6511,
6968,
7336,
7567,
7824,
8040,
8677,
8910,
9347,
9579,
9728,
9952,
10197,
10375,
10291,
10109,
9809,
9455,
8929,
8695,
8143,
7730,
7086,
6702,
6255,
5943,
5727,
5212,
4889,
4557,
4447,
4261,
4374,
4186,
4122,
4054,
4074,
3906,
3785,
3738,
3635,
3644,
3603,
3551,
3572,
3571,
3554,
3559,
3427,
3311,
3211,
3131,
3113,
3000,
2869,
2761,
2676,
2645,
2555,
2489,
2212,
2219,
2155,
2089,
2047,
2032,
2023,
1957,
1895,
1761,
1722,
1601,
1587,
1593,
1730,
1679,
1643,
1526,
1379,
1364,
1381,
1359,
1406,
1432,
1390,
1421,
1446,
1458,
1425,
1370,
1347,
1397,
1489,
1484,
1464,
1468,
1420,
1373,
1352,
